name,code,gender
FEHIM,TR,M
FEHIME,TR,F
FEHMI,TR,M
FERAH,TR,F
FERAT,TR,M
FERAY,TR,F
FERDA,TR,F
FERDANE,TR,F
FERDI,TR,M
FERHAN,TR,M
FERHAT,TR,M
FERIDAN,TR,F
FERIDE,TR,F
FERIDUN,TR,M
FERIHA,TR,F
FERIHAN,TR,F
FERISTAH,TR,F
FERIT,TR,M
FERMO,TR,M
FERRUH,TR,M
FERUDUN,TR,M
FERYAL,TR,F
FETHI,TR,M
FETHIYE,TR,F
FETHULLAH,TR,M
FETI,TR,M
FETIH,TR,M
FETTAH,TR,M
FETULLAH,TR,M
FEVZI,TR,M
FEVZIYE,TR,F
FEYYAZ,TR,M
FEYZA,TR,F
FEYZI,TR,M
FEYZULLAH,TR,M
FEZA,TR,M
FIDAN,TR,F
FIGEN,TR,F
FIKRET,TR,M
FIKRI,TR,M
FIKRIYE,TR,F
FILIZ,TR,F
FIRDEVS,TR,F
FITNAT,TR,F
FITNETE,TR,F
FRAT,TR,M
FRATCAN,TR,M
FUAT,TR,M
FUGEN,TR,F
FULDEN,TR,F
FULYA,TR,F
FUNDA,TR,F
FURKAN,TR,M
FUSUN,TR,F
GALIP,TR,M
GAMZE,TR,F
GANIMET,TR,F
GARIP,TR,M
GAZANFER,TR,M
GAZI,TR,M
GENCAY,TR,M
GENCER,TR,M
GIRAY,TR,M
GIYASETTIN,TR,M
GIZEM,TR,F
GOKALP,TR,M
GOKAY,TR,M
GOKBEN,TR,F
GOKBERK,TR,M
GOKCAN,TR,M
GOKCE,TR,?
GOKER,TR,M
GOKHAN,TR,M
GOKHUN,TR,M
GOKMEN,TR,M
GOKSAN,TR,M
GOKSEL,TR,M
GOKSEN,TR,?
GOKSU,TR,F
GOKTEN,TR,M
GOKTUG,TR,M
GOKTURK,TR,M
GONCA,TR,F
GONUL,TR,F
GORKEM,TR,M
GOZDE,TR,F
GUCLU,TR,M
GUL,TR,F
GULAN,TR,F
GULAY,TR,F
GULBAHAR,TR,F
GULBEYAZ,TR,F
GULCAN,TR,F
GULCE,TR,F
GULCIHAN,TR,F
GULCIN,TR,F
GULDAL,TR,F
GULDANE,TR,F
GULDEN,TR,F
GULDENIZ,TR,F
GULDEREN,TR,F
GULEN,TR,F
GULENDAM,TR,F
GULENDER,TR,F
GULENGUL,TR,F
GULER,TR,F
GULESER,TR,F
GULFEM,TR,F
GULFER,TR,F
GULFIDAN,TR,F
GULGUN,TR,F
GULHAN,TR,F
GULHANIM,TR,F
GULHATUN,TR,F
GULIN,TR,F
GULISTAN,TR,F
GULIZ,TR,F
GULIZAR,TR,F
GULLER,TR,F
GULLU,TR,F
GULLUZAR,TR,F
GULNAZ,TR,F
GULNUR,TR,F
GULPERI,TR,F
GULRIZ,TR,F
GULSAH,TR,F
GULSEN,TR,F
GULSER,TR,F
GULSEREN,TR,F
GULSEVEN,TR,F
GULSEVIM,TR,F
GULSIN,TR,F
GULSINA,TR,F
GULSU,TR,F
GULSUM,TR,F
GULSUN,TR,F
GULTEKIN,TR,M
GULTEN,TR,F
GULUMSER,TR,F
GULUSEN,TR,F
GULUSTAN,TR,F
GULUZAR,TR,F
GUNAY,TR,?
GUNCE,TR,F
GUNDUZ,TR,M
GUNER,TR,?
GUNES,TR,M
GUNEY,TR,M
GUNGOR,TR,M
GUNHAN,TR,M
GUNNUR,TR,F
GUNSEL,TR,F
GUNSELI,TR,F
GURAY,TR,M
GURBET,TR,?
GURBUZ,TR,M
GURCAN,TR,?
GURCU,TR,F
GUREL,TR,M
GURHAN,TR,M
GURKAN,TR,M
GURMAN,TR,M
GUROL,TR,M
